--------------------
BDMEP - INMET
--------------------
Estação           : RECIFE  CURADO  - PE (OMM: 82900)
Latitude  (graus) : -8.05
Longitude (graus) : -34.95
Altitude  (metros): 10.00
Estação Operante
Inicio de operação: 07/07/1961
Periodo solicitado dos dados: 01/01/2000 a 12/12/2018
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;
82900;15/08/2000;1200;6.3;;20.9;;;
82900;16/08/2000;0000;;28.1;;10;71.75;
82900;16/08/2000;1200;0;;20.8;;;
82900;17/08/2000;0000;;26.6;;2.3;89;
82900;17/08/2000;1200;1.8;;20;;;
82900;18/08/2000;0000;;26.6;;2.1;89.75;
82900;18/08/2000;1200;46.2;;21.4;;;
82900;19/08/2000;0000;;27.7;;8.6;76.5;
82900;19/08/2000;1200;18;;22;;;
82900;20/08/2000;0000;;28;;7.8;75.25;
82900;20/08/2000;1200;0.1;;23.7;;;
82900;21/08/2000;0000;;27.8;;6.3;78.5;
82900;21/08/2000;1200;3;;21.4;;;
82900;22/08/2000;0000;;28.3;;9.4;73.75;
82900;22/08/2000;1200;0.1;;20.6;;;
82900;23/08/2000;0000;;28.4;;9.2;79.25;
82900;23/08/2000;1200;0;;23.4;;;
82900;24/08/2000;0000;;26;;0.3;93;
82900;24/08/2000;1200;11.3;;22;;;
82900;25/08/2000;0000;;28.4;;8.6;83.75;
82900;25/08/2000;1200;3.4;;20.2;;;
82900;26/08/2000;0000;;28.2;;10.8;74;
82900;26/08/2000;1200;10.7;;20;;;
82900;27/08/2000;0000;;28.3;;9.2;78.75;
82900;27/08/2000;1200;0;;20;;;
82900;28/08/2000;0000;;28.2;;6.4;73.75;
82900;28/08/2000;1200;0;;20;;;
82900;29/08/2000;0000;;28.5;;8.4;75.75;
82900;29/08/2000;1200;0;;20;;;
